VirtualBox XPCOM Server 5.1.22 r115126 linux.amd64 (May  9 2017 19:27:33) release log
00:00:00.017038 main     Log opened 2017-06-02T18:52:29.149385000Z
00:00:00.017040 main     Build Type: release
00:00:00.017045 main     OS Product: Linux
00:00:00.017046 main     OS Release: 4.11.3-1-ARCH
00:00:00.017047 main     OS Version: #1 SMP PREEMPT Sun May 28 10:40:17 CEST 2017
00:00:00.017072 main     DMI Product Name: P65_P67RGRERA
00:00:00.017080 main     DMI Product Version: Not Applicable                  
00:00:00.017129 main     Host RAM: 32002MB (31.2GB) total, 30984MB (30.2GB) available
00:00:00.017134 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.017135 main     Process ID: 5078
00:00:00.017135 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.019175 main     IPC socket path: /tmp/.vbox-grish-ipc/ipcd
00:00:00.122807 nspr-2   VirtualBox: object creation starts
00:00:00.122867 nspr-2   Home directory: '/home/grish/dotfiles/VirtualBox'
00:00:00.123022 nspr-2   Loading settings file "/home/grish/dotfiles/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.132762 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlan0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:00.133172 nspr-2   NAT: resolv.conf: nameserver 192.168.1.1
00:00:00.133186 nspr-2   NAT: resolv.conf: nameserver 2a02:1205:34c1:e630:aad3:f7ff:fe72:616d
00:00:00.133213 nspr-2   HostDnsMonitor: old information
00:00:00.133215 nspr-2     no server entries
00:00:00.133216 nspr-2     no domain set
00:00:00.133218 nspr-2     no search string entries
00:00:00.133219 nspr-2   HostDnsMonitor: new information
00:00:00.133221 nspr-2     server 1: 192.168.1.1
00:00:00.133223 nspr-2     server 2: 2a02:1205:34c1:e630:aad3:f7ff:fe72:616d
00:00:00.133225 nspr-2     domain: home
00:00:00.133226 nspr-2     no search string entries
00:00:00.133231 nspr-2   HostDnsMonitorProxy::notify
00:00:00.138648 nspr-2   failed to create vboxnet0, error (0x80004005)
00:00:00.138874 nspr-2   VD: VDInit finished
00:00:00.138926 nspr-2   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={0eb668d2-495e-5a36-8890-29999b5f030c} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:00.139304 nspr-2   VirtualBox: object created
00:00:00.786217 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'SATA'}, preserve=false aResultDetail=0
00:00:00.786671 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 0 of controller 'SATA'}, preserve=false aResultDetail=0
00:00:00.949269 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 1 of controller 'SATA'}, preserve=false aResultDetail=0
00:00:00.952924 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 1 of controller 'SATA'}, preserve=false aResultDetail=0
00:00:01.694154 nspr-3   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 2 of controller 'SATA'}, preserve=false aResultDetail=0
00:00:01.694277 nspr-2   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={b2547866-a0a1-4391-8b86-6952d82efaa0} aComponent={SessionMachine} aText={No storage device attached to device slot 0 on port 2 of controller 'SATA'}, preserve=false aResultDetail=0
